Ticker,Category,System_Mode,Model_Type,Cumulative_Return,Cumulative_Return_Pct,Sharpe_Ratio,Max_Drawdown,Max_Drawdown_Pct,Directional_Accuracy,Win_Rate,Num_Trades,Final_Value
NVDA,increasing,full,hmm,0.13591531578063965,13.59%,0.532,0.1985,19.85%,0.9,0.4444,21,113591.53
NVDA,increasing,full,xgboost,-0.021010505218505858,-2.10%,-1.217,0.0317,3.17%,0.4444,0.5,19,97898.95
NVDA,increasing,quant_only,hmm,0.1541979825592041,15.42%,0.634,0.1474,14.74%,0.9091,0.5,23,115419.8
NVDA,increasing,quant_only,xgboost,0.03769777778625488,3.77%,0.065,0.0542,5.42%,0.4242,0.5,15,103769.78
NVDA,increasing,llm_only,none,0.18292249809265138,18.29%,0.76,0.1793,17.93%,0.6207,0.5714,29,118292.25
MRNA,decreasing,full,hmm,0.11964726371765137,11.96%,0.482,0.1318,13.18%,0.8286,0.4286,16,111964.73
MRNA,decreasing,full,xgboost,0.028546293334960938,2.85%,-0.008,0.0945,9.45%,0.6667,0.5,11,102854.63
MRNA,decreasing,quant_only,hmm,0.018920809326171874,1.89%,0.074,0.1655,16.55%,0.8846,0.4286,14,101892.08
MRNA,decreasing,quant_only,xgboost,-0.012368090286254883,-1.24%,-0.826,0.0453,4.53%,0.5882,0.3333,12,98763.19
MRNA,decreasing,llm_only,none,0.09314478248596192,9.31%,0.377,0.2229,22.29%,0.6875,0.4,26,109314.48
KO,stable,full,hmm,0.0024699330139160156,0.25%,-1.509,0.032,3.20%,0.6897,0.7273,25,100246.99
KO,stable,full,xgboost,0.011733638381958008,1.17%,-1.993,0.0042,0.42%,0.7692,0.5714,24,101173.36
KO,stable,quant_only,hmm,0.0,0.00%,0.0,0.0,0.00%,1.0,0.0,1,100000.0
KO,stable,quant_only,xgboost,0.006514928207397461,0.65%,-3.443,0.004,0.40%,0.5882,0.6,20,100651.49
KO,stable,llm_only,none,0.019475239677429198,1.95%,-0.286,0.0765,7.65%,0.8421,0.6,18,101947.52
